_id,riot_id,win_rate,pick_rate,champions_count,tier,patch_version,updated_at
"1006",1006,47.63,3.71,43,"B","26.12","2026-06-27T11:00:24.535Z"
"2137",2137,47.58,1.94,60,"B","26.12","2026-06-27T11:00:24.535Z"
"1073",1073,47.51,6,72,"B","26.12","2026-06-27T11:00:24.535Z"
"1325",1325,47.51,1.5,17,"B","26.12","2026-06-27T11:00:24.535Z"
"2138",2138,47.5,1.26,4,"B","26.12","2026-06-27T11:00:24.535Z"
"1314",1314,47.46,6.01,5,"B","26.12","2026-06-27T11:00:24.535Z"
"2116",2116,47.29,9.35,36,"B","26.12","2026-06-27T11:00:24.535Z"
"1104",1104,47.28,2.43,1,"B","26.12","2026-06-27T11:00:24.535Z"
"1112",1112,47.28,4.16,43,"B","26.12","2026-06-27T11:00:24.535Z"
"2042",2042,47.16,2.78,29,"B","26.12","2026-06-27T11:00:24.535Z"
"1011",1011,47.14,3.03,33,"B","26.12","2026-06-27T11:00:24.535Z"
"2099",2099,47.07,4.49,31,"B","26.12","2026-06-27T11:00:24.535Z"
"2054",2054,47.05,10.42,10,"B","26.12","2026-06-27T11:00:24.535Z"
"1149",1149,46.66,7,12,"B","26.12","2026-06-27T11:00:24.535Z"
"2136",2136,46.64,3.26,7,"B","26.12","2026-06-27T11:00:24.535Z"
"1118",1118,46.48,5.41,2,"B","26.12","2026-06-27T11:00:24.535Z"
"1345",1345,46.15,1.6,33,"B","26.12","2026-06-27T11:00:24.535Z"
"2064",2064,45.45,25.92,2,"B","26.12","2026-06-27T11:00:24.535Z"
"1084",1084,44.72,10.65,41,"B","26.12","2026-06-27T11:00:24.535Z"
"1326",1326,44.26,8.04,42,"B","26.12","2026-06-27T11:00:24.535Z"
