_id,champion_id,augment_id,stage,win_rate,pick_rate,sample_size,patch_version,updated_at
0_1320_3_26.12,0,1320,3,49.65,0,18192,26.12,2026-06-29T10:17:34.725Z
0_1320_7_26.12,0,1320,7,48.68,0,25742,26.12,2026-06-29T10:17:34.725Z
0_1320_11_26.12,0,1320,11,48.63,0,37950,26.12,2026-06-29T10:17:34.725Z
0_1320_15_26.12,0,1320,15,47.24,0,40956,26.12,2026-06-29T10:17:34.725Z
0_1037_3_26.12,0,1037,3,48.19,0,1297,26.12,2026-06-29T10:17:34.725Z
0_1037_7_26.12,0,1037,7,49.3,0,4460,26.12,2026-06-29T10:17:34.725Z
0_1037_11_26.12,0,1037,11,50.54,0,7077,26.12,2026-06-29T10:17:34.725Z
0_1037_15_26.12,0,1037,15,51.26,0,10514,26.12,2026-06-29T10:17:34.725Z
0_1344_3_26.12,0,1344,3,49.97,0,85483,26.12,2026-06-29T10:17:34.725Z
0_1344_7_26.12,0,1344,7,49.63,0,80491,26.12,2026-06-29T10:17:34.725Z
0_1344_11_26.12,0,1344,11,49.45,0,89483,26.12,2026-06-29T10:17:34.725Z
0_1344_15_26.12,0,1344,15,47.49,0,67839,26.12,2026-06-29T10:17:34.725Z
0_1344_18_26.12,0,1344,18,66.1,0,59,26.12,2026-06-29T10:17:34.725Z
0_1020_3_26.12,0,1020,3,45.91,0,2884,26.12,2026-06-29T10:17:34.725Z
0_1020_7_26.12,0,1020,7,45.8,0,5803,26.12,2026-06-29T10:17:34.725Z
0_1020_11_26.12,0,1020,11,46.61,0,11896,26.12,2026-06-29T10:17:34.725Z
0_1020_15_26.12,0,1020,15,46.54,0,20033,26.12,2026-06-29T10:17:34.725Z
0_1053_3_26.12,0,1053,3,52.97,0,3287,26.12,2026-06-29T10:17:34.725Z
0_1053_7_26.12,0,1053,7,52.37,0,12814,26.12,2026-06-29T10:17:34.725Z
0_1053_11_26.12,0,1053,11,52.1,0,18527,26.12,2026-06-29T10:17:34.725Z
0_1053_15_26.12,0,1053,15,51.47,0,24948,26.12,2026-06-29T10:17:34.725Z
0_2100_3_26.12,0,2100,3,50.74,0,74444,26.12,2026-06-29T10:17:34.725Z
0_2100_7_26.12,0,2100,7,50.11,0,75552,26.12,2026-06-29T10:17:34.725Z
0_2100_11_26.12,0,2100,11,50.76,0,87336,26.12,2026-06-29T10:17:34.725Z
0_2100_15_26.12,0,2100,15,49.52,0,74511,26.12,2026-06-29T10:17:34.725Z
0_2100_18_26.12,0,2100,18,52.33,0,86,26.12,2026-06-29T10:17:34.725Z
0_1098_3_26.12,0,1098,3,48.65,0,13842,26.12,2026-06-29T10:17:34.725Z
0_1098_7_26.12,0,1098,7,49.02,0,17562,26.12,2026-06-29T10:17:34.725Z
0_1098_11_26.12,0,1098,11,50.63,0,21328,26.12,2026-06-29T10:17:34.725Z
0_1098_15_26.12,0,1098,15,49.55,0,19754,26.12,2026-06-29T10:17:34.725Z
0_1087_3_26.12,0,1087,3,52.58,0,21493,26.12,2026-06-29T10:17:34.725Z
0_1087_7_26.12,0,1087,7,51.76,0,63852,26.12,2026-06-29T10:17:34.725Z
0_1087_11_26.12,0,1087,11,52,0,63558,26.12,2026-06-29T10:17:34.725Z
0_1087_15_26.12,0,1087,15,51,0,61316,26.12,2026-06-29T10:17:34.725Z
0_1237_3_26.12,0,1237,3,47.03,0,65091,26.12,2026-06-29T10:17:34.725Z
0_1237_7_26.12,0,1237,7,45.05,0,4264,26.12,2026-06-29T10:17:34.725Z
0_1237_11_26.12,0,1237,11,46.38,0,5895,26.12,2026-06-29T10:17:34.725Z
0_1237_15_26.12,0,1237,15,46.21,0,5665,26.12,2026-06-29T10:17:34.725Z
0_2111_3_26.12,0,2111,3,55.54,0,32436,26.12,2026-06-29T10:17:34.725Z
0_2111_7_26.12,0,2111,7,54.59,0,35534,26.12,2026-06-29T10:17:34.725Z
0_2111_11_26.12,0,2111,11,54.36,0,42739,26.12,2026-06-29T10:17:34.725Z
0_2111_15_26.12,0,2111,15,52.28,0,40596,26.12,2026-06-29T10:17:34.725Z
0_1044_3_26.12,0,1044,3,46.71,0,2415,26.12,2026-06-29T10:17:34.725Z
0_1044_7_26.12,0,1044,7,47.28,0,9759,26.12,2026-06-29T10:17:34.725Z
0_1044_11_26.12,0,1044,11,46.75,0,9165,26.12,2026-06-29T10:17:34.725Z
0_1044_15_26.12,0,1044,15,46.71,0,8873,26.12,2026-06-29T10:17:34.725Z
0_1170_3_26.12,0,1170,3,53.52,0,39669,26.12,2026-06-29T10:17:34.725Z
0_1170_7_26.12,0,1170,7,52.32,0,46521,26.12,2026-06-29T10:17:34.725Z
0_1170_11_26.12,0,1170,11,53.15,0,49118,26.12,2026-06-29T10:17:34.725Z
0_1170_15_26.12,0,1170,15,52.26,0,45203,26.12,2026-06-29T10:17:34.725Z
0_1170_18_26.12,0,1170,18,75.45,0,220,26.12,2026-06-29T10:17:34.725Z
0_1056_3_26.12,0,1056,3,58.96,0,63458,26.12,2026-06-29T10:17:34.725Z
0_1056_7_26.12,0,1056,7,57.76,0,72974,26.12,2026-06-29T10:17:34.725Z
0_1056_11_26.12,0,1056,11,57.68,0,73783,26.12,2026-06-29T10:17:34.725Z
0_1056_15_26.12,0,1056,15,56.24,0,66027,26.12,2026-06-29T10:17:34.725Z
0_1056_18_26.12,0,1056,18,72.96,0,233,26.12,2026-06-29T10:17:34.725Z
0_1048_3_26.12,0,1048,3,50.72,0,694,26.12,2026-06-29T10:17:34.725Z
0_1048_7_26.12,0,1048,7,50.15,0,2584,26.12,2026-06-29T10:17:34.725Z
0_1048_11_26.12,0,1048,11,49.81,0,3666,26.12,2026-06-29T10:17:34.725Z
0_1048_15_26.12,0,1048,15,50.93,0,4891,26.12,2026-06-29T10:17:34.725Z
0_1318_3_26.12,0,1318,3,46.31,0,4323,26.12,2026-06-29T10:17:34.725Z
0_1318_7_26.12,0,1318,7,46.33,0,7397,26.12,2026-06-29T10:17:34.725Z
0_1318_11_26.12,0,1318,11,48.82,0,14948,26.12,2026-06-29T10:17:34.725Z
0_1318_15_26.12,0,1318,15,50.3,0,19219,26.12,2026-06-29T10:17:34.725Z
0_1113_3_26.12,0,1113,3,50.73,0,70936,26.12,2026-06-29T10:17:34.725Z
0_1113_7_26.12,0,1113,7,48.73,0,73268,26.12,2026-06-29T10:17:34.725Z
0_1113_11_26.12,0,1113,11,50.46,0,91306,26.12,2026-06-29T10:17:34.725Z
0_1113_15_26.12,0,1113,15,47.64,0,66209,26.12,2026-06-29T10:17:34.725Z
0_1113_18_26.12,0,1113,18,55.74,0,61,26.12,2026-06-29T10:17:34.725Z
0_2076_3_26.12,0,2076,3,52.17,0,40470,26.12,2026-06-29T10:17:34.725Z
0_2076_7_26.12,0,2076,7,52.14,0,49646,26.12,2026-06-29T10:17:34.725Z
0_2076_11_26.12,0,2076,11,52.28,0,53652,26.12,2026-06-29T10:17:34.725Z
